Test : Start of hold value,"172.00000",MPa

Time,Extension,Load,Temperature: Chamber 3119-600 1 1,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(C),(mm/mm),(MPa)
"0.00000","0.32852","0.73363","31.14114","0.00000","6.43487"
"0.10000","0.32852","0.74164","31.14114","0.00000","6.50508"
"0.20000","0.32860","0.75429","31.14114","0.00000","6.61601"
"0.30000","0.32881","0.77772","31.14114","0.00000","6.82153"
"0.40000","0.33106","0.82021","31.08580","0.00003","7.19424"
"0.50000","0.33226","0.88188","31.08580","0.00004","7.73520"
"0.60000","0.33277","0.94213","31.08580","0.00004","8.26360"
"0.70000","0.33391","1.00506","31.08580","0.00005","8.81563"
"0.80000","0.33452","1.07563","31.08580","0.00006","9.43456"
"0.90000","0.33532","1.14611","31.08580","0.00007","10.05282"
"1.00000","0.33615","1.11758","31.08407","0.00008","9.80254"
"1.10000","0.33695","1.05615","31.08407","0.00008","9.26374"
"1.20000","0.33779","1.01665","31.08407","0.00009","8.91723"
"1.30000","0.33875","0.96138","31.08407","0.00010","8.43249"
"1.40000","0.33959","0.90339","31.08407","0.00011","7.92382"
"1.50000","0.34053","0.86286","31.13820","0.00012","7.56833"
"1.60000","0.34138","0.83562","31.13820","0.00013","7.32941"
"1.70000","0.34211","0.81491","31.13820","0.00014","7.14775"
"1.80000","0.34290","0.80560","31.13820","0.00014","7.06613"
"1.90000","0.34366","0.80528","31.13820","0.00015","7.06331"
"2.00000","0.34449","0.80856","31.13820","0.00016","7.09208"
"2.10000","0.34530","0.79539","31.18000","0.00017","6.97651"
"2.20000","0.34615","0.79440","31.18000","0.00018","6.96788"
"2.30000","0.34708","0.80431","31.18000","0.00018","7.05479"
"2.40000","0.34801","0.74750","31.18000","0.00019","6.55647"
"2.50000","0.34885","0.70243","31.18000","0.00020","6.16118"
"2.60000","0.34968","0.63609","31.18000","0.00021","5.57931"
"2.70000","0.35047","0.58796","31.19361","0.00022","5.15716"
"2.80000","0.35120","0.53526","31.19361","0.00023","4.69491"
"2.90000","0.35198","0.50143","31.19361","0.00023","4.39815"
"3.00000","0.35277","0.48819","31.19361","0.00024","4.28200"
"3.10000","0.35362","0.50772","31.19361","0.00025","4.45335"
"3.20000","0.35450","0.50832","31.19361","0.00026","4.45855"
"3.30000","0.35542","0.52633","31.15067","0.00027","4.61653"
"3.40000","0.35637","0.56528","31.15067","0.00028","4.95821"
"3.50000","0.35720","0.63383","31.15067","0.00029","5.55944"
"3.60000","0.35798","0.68755","31.15067","0.00029","6.03064"
"3.70000","0.35879","0.72270","31.15067","0.00030","6.33901"
"3.80000","0.35957","0.74833","31.07006","0.00031","6.56376"
"3.90000","0.36033","0.76175","31.07006","0.00032","6.68151"
"4.00000","0.36110","0.79181","31.07006","0.00032","6.94517"
"4.10000","0.36197","0.83129","31.07006","0.00033","7.29142"
"4.20000","0.36285","0.87973","31.07006","0.00034","7.71630"
"4.30000","0.36375","0.93271","31.07006","0.00035","8.18102"
"4.40000","0.36466","1.01261","30.97619","0.00036","8.88185"
"4.50000","0.36553","1.10665","30.97619","0.00037","9.70667"
"4.60000","0.36629","1.20527","30.97619","0.00038","10.57169"
"4.70000","0.36707","1.30119","30.97619","0.00038","11.41304"
"4.80000","0.36786","1.38817","30.97619","0.00039","12.17594"
"4.90000","0.36863","1.43293","30.97619","0.00040","12.56852"
"5.00000","0.36941","1.44972","30.92524","0.00041","12.71580"
"5.10000","0.37031","1.41142","30.92524","0.00042","12.37991"
"5.20000","0.37117","1.31247","30.92524","0.00042","11.51197"
"5.30000","0.37208","1.21824","30.92524","0.00043","10.68544"
"5.40000","0.37298","1.18853","30.92524","0.00044","10.42490"
"5.50000","0.37379","1.15702","30.92524","0.00045","10.14850"
"5.60000","0.37458","1.13749","30.96332","0.00046","9.97720"
"5.70000","0.37539","1.16734","30.96332","0.00047","10.23897"
"5.80000","0.37617","1.18682","30.96332","0.00047","10.40983"
"5.90000","0.37698","1.21190","30.96332","0.00048","10.62983"
"6.00000","0.37776","1.25017","30.96332","0.00049","10.96552"
"6.10000","0.37864","1.26543","30.96332","0.00050","11.09935"
"6.20000","0.37952","1.25271","31.00498","0.00051","10.98776"
"6.30000","0.38040","1.19201","31.00498","0.00052","10.45541"
"6.40000","0.38130","1.09639","31.00498","0.00053","9.61665"
"6.50000","0.38214","1.01486","31.00498","0.00053","8.90159"
"6.60000","0.38288","0.93849","31.00498","0.00054","8.23171"
"6.70000","0.38372","0.88363","31.01834","0.00055","7.75051"
"6.80000","0.38450","0.83941","31.01834","0.00056","7.36267"
"6.90000","0.38533","0.84850","31.01834","0.00057","7.44235"
"7.00000","0.38615","0.84419","31.01834","0.00057","7.40460"
"7.10000","0.38697","0.87103","31.01834","0.00058","7.63998"
"7.20000","0.38789","0.92432","31.01834","0.00059","8.10742"
"7.30000","0.38882","0.96265","30.98945","0.00060","8.44362"
"7.40000","0.38967","0.95986","30.98945","0.00061","8.41914"
"7.50000","0.39050","0.90423","30.98945","0.00062","7.93119"
"7.60000","0.39125","0.85387","30.98945","0.00063","7.48948"
"7.70000","0.39205","0.83587","30.98945","0.00063","7.33162"
"7.80000","0.39287","0.83484","30.98945","0.00064","7.32257"
"7.90000","0.39369","0.85797","30.91783","0.00065","7.52544"
"8.00000","0.39454","0.91003","30.91783","0.00066","7.98207"
"8.10000","0.39536","0.96488","30.91783","0.00067","8.46320"
"8.20000","0.39626","1.05349","30.91783","0.00068","9.24039"
"8.30000","0.39720","1.15769","30.91783","0.00068","10.15439"
"8.40000","0.39800","1.28605","30.91783","0.00069","11.28019"
"8.50000","0.39879","1.40463","30.82809","0.00070","12.32036"
"8.60000","0.39958","1.49127","30.82809","0.00071","13.08023"
"8.70000","0.40038","1.54198","30.82809","0.00072","13.52508"
"8.80000","0.40122","1.54448","30.82809","0.00072","13.54695"
"8.90000","0.40207","1.52772","30.82809","0.00073","13.40000"
"9.00000","0.40288","1.52667","30.74317","0.00074","13.39075"
"9.10000","0.40372","1.51982","30.74317","0.00075","13.33066"
"9.20000","0.40466","1.55377","30.74317","0.00076","13.62844"
"9.30000","0.40547","1.57904","30.74317","0.00077","13.85009"
"9.40000","0.40632","1.57895","30.74317","0.00078","13.84929"
"9.50000","0.40717","1.56683","30.74317","0.00078","13.74302"
"9.60000","0.40792","1.59928","30.74702","0.00079","14.02761"
"9.70000","0.40871","1.61097","30.74702","0.00080","14.13014"
"9.80000","0.40955","1.59822","30.74702","0.00081","14.01835"
"9.90000","0.41038","1.59600","30.74702","0.00082","13.99886"
"10.00000","0.41124","1.55275","30.74702","0.00082","13.61950"
"10.10000","0.41209","1.48781","30.74702","0.00083","13.04995"
"10.20000","0.41298","1.42691","30.78931","0.00084","12.51573"
"10.30000","0.41382","1.35121","30.78931","0.00085","11.85178"
"10.40000","0.41459","1.27587","30.78931","0.00086","11.19098"
"10.50000","0.41540","1.22913","30.78931","0.00087","10.78097"
"10.60000","0.41621","1.19700","30.78931","0.00087","10.49911"
"10.70000","0.41699","1.19871","30.78931","0.00088","10.51413"
"10.80000","0.41786","1.19590","30.82523","0.00089","10.48950"
"10.90000","0.41870","1.20679","30.82523","0.00090","10.58505"
"11.00000","0.41954","1.19322","30.82523","0.00091","10.46596"
"11.10000","0.42044","1.16892","30.82523","0.00092","10.25287"
"11.20000","0.42127","1.11842","30.82523","0.00092","9.80989"
"11.30000","0.42210","1.04591","30.80535","0.00093","9.17390"
"11.40000","0.42291","0.95230","30.80535","0.00094","8.35281"
"11.50000","0.42368","0.85354","30.80535","0.00095","7.48660"
"11.60000","0.42451","0.80228","30.80535","0.00096","7.03700"
"11.70000","0.42534","0.78656","30.80535","0.00096","6.89911"
"11.80000","0.42616","0.83387","30.80535","0.00097","7.31408"
"11.90000","0.42701","0.91489","30.73614","0.00098","8.02467"
"12.00000","0.42790","1.01072","30.73614","0.00099","8.86522"
"12.10000","0.42879","1.13129","30.73614","0.00100","9.92276"
"12.20000","0.42958","1.24683","30.73614","0.00101","10.93625"
"12.30000","0.43045","1.35389","30.73614","0.00102","11.87527"
"12.40000","0.43125","1.42355","30.73614","0.00102","12.48627"
"12.50000","0.43202","1.45450","30.56882","0.00103","12.75778"
"12.60000","0.43283","1.46290","30.56882","0.00104","12.83143"
"12.70000","0.43364","1.46952","30.56882","0.00105","12.88953"
"12.80000","0.43452","1.50040","30.56882","0.00106","13.16035"
"12.90000","0.43540","1.55584","30.56882","0.00107","13.64658"
"13.00000","0.43629","1.62241","30.56882","0.00107","14.23049"
"13.10000","0.43717","1.69941","30.50352","0.00108","14.90587"
"13.20000","0.43794","1.80110","30.50352","0.00109","15.79789"
"13.30000","0.43875","1.88624","30.50352","0.00110","16.54461"
"13.40000","0.43955","1.99568","30.50352","0.00111","17.50455"
"13.50000","0.44033","2.04106","30.50352","0.00111","17.90264"
"13.60000","0.44117","1.99541","30.50352","0.00112","17.50218"
"13.70000","0.44201","1.90615","30.49978","0.00113","16.71923"
"13.80000","0.44287","1.83805","30.49978","0.00114","16.12195"
"13.90000","0.44378","1.79303","30.49978","0.00115","15.72704"
"14.00000","0.44463","1.72492","30.49978","0.00116","15.12964"
"14.10000","0.44551","1.69322","30.49978","0.00117","14.85162"
"14.20000","0.44629","1.68681","30.54636","0.00117","14.79535"
"14.30000","0.44706","1.68599","30.54636","0.00118","14.78821"
"14.40000","0.44788","1.69450","30.54636","0.00119","14.86281"
"14.50000","0.44866","1.72537","30.54636","0.00120","15.13363"
"14.60000","0.44951","1.75705","30.54636","0.00121","15.41146"
"14.70000","0.45036","1.73741","30.54636","0.00121","15.23920"
"14.80000","0.45124","1.68426","30.61245","0.00122","14.77304"
"14.90000","0.45210","1.61018","30.61245","0.00123","14.12326"
"15.00000","0.45301","1.52020","30.61245","0.00124","13.33405"
"15.10000","0.45387","1.43739","30.61245","0.00125","12.60766"
"15.20000","0.45459","1.35634","30.61245","0.00126","11.89673"
"15.30000","0.45535","1.29441","30.61245","0.00126","11.35359"
"15.40000","0.45616","1.25743","30.62387","0.00127","11.02919"
"15.50000","0.45698","1.27308","30.62387","0.00128","11.16647"
"15.60000","0.45782","1.28646","30.62387","0.00129","11.28386"
"15.70000","0.45869","1.31429","30.62387","0.00130","11.52790"
"15.80000","0.45957","1.35232","30.62387","0.00131","11.86153"
"15.90000","0.46047","1.42130","30.62387","0.00132","12.46655"
"16.00000","0.46135","1.49190","30.58503","0.00132","13.08575"
"16.10000","0.46214","1.52718","30.58503","0.00133","13.39527"
"16.20000","0.46293","1.53496","30.58503","0.00134","13.46350"
"16.30000","0.46368","1.53897","30.58503","0.00135","13.49863"
"16.40000","0.46447","1.55693","30.58503","0.00135","13.65617"
"16.50000","0.46530","1.57958","30.46457","0.00136","13.85487"
"16.60000","0.46610","1.65109","30.46457","0.00137","14.48204"
"16.70000","0.46697","1.72812","30.46457","0.00138","15.15772"
"16.80000","0.46790","1.82833","30.46457","0.00139","16.03669"
"16.90000","0.46880","1.93426","30.46457","0.00140","16.96582"
"17.00000","0.46965","2.06365","30.46457","0.00141","18.10073"
"17.10000","0.47044","2.17892","30.40973","0.00141","19.11176"
"17.20000","0.47126","2.24684","30.40973","0.00142","19.70756"
"17.30000","0.47198","2.27741","30.40973","0.00143","19.97571"
"17.40000","0.47278","2.27646","30.40973","0.00144","19.96734"
"17.50000","0.47360","2.26302","30.40973","0.00145","19.84947"
"17.60000","0.47444","2.23032","30.40973","0.00145","19.56264"
"17.70000","0.47532","2.16567","30.41114","0.00146","18.99560"
"17.80000","0.47623","2.11178","30.41114","0.00147","18.52293"
"17.90000","0.47714","2.08001","30.41114","0.00148","18.24427"
"18.00000","0.47798","2.09032","30.41114","0.00149","18.33467"
"18.10000","0.47878","2.13126","30.41114","0.00150","18.69375"
"18.20000","0.47956","2.18698","30.41114","0.00151","19.18251"
"18.30000","0.48034","2.20825","30.49911","0.00151","19.36901"
"18.40000","0.48109","2.21854","30.49911","0.00152","19.45935"
"18.50000","0.48196","2.21269","30.49911","0.00153","19.40796"
"18.60000","0.48280","2.12812","30.49911","0.00154","18.66620"
"18.70000","0.48369","2.02758","30.49911","0.00155","17.78435"
"18.80000","0.48462","1.90444","30.56151","0.00156","16.70424"
"18.90000","0.48556","1.85308","30.56151","0.00157","16.25376"
"19.00000","0.48634","1.81016","30.56151","0.00157","15.87735"
"19.10000","0.48716","1.78888","30.56151","0.00158","15.69064"
"19.20000","0.48794","1.75425","30.56151","0.00159","15.38691"
"19.30000","0.48870","1.72800","30.56151","0.00160","15.15667"
"19.40000","0.48947","1.76382","30.59364","0.00160","15.47083"
"19.50000","0.49031","1.76241","30.59364","0.00161","15.45853"
"19.60000","0.49117","1.77173","30.59364","0.00162","15.54027"
"19.70000","0.49207","1.71133","30.59364","0.00163","15.01049"
"19.80000","0.49300","1.65357","30.59364","0.00164","14.50386"
"19.90000","0.49390","1.56322","30.59364","0.00165","13.71137"
"20.00000","0.49471","1.50636","30.58350","0.00166","13.21264"
"20.10000","0.49546","1.50863","30.58350","0.00166","13.23256"
"20.20000","0.49625","1.53704","30.58350","0.00167","13.48171"
"20.30000","0.49704","1.57983","30.58350","0.00168","13.85701"
"20.40000","0.49785","1.66911","30.58350","0.00169","14.64013"
"20.50000","0.49863","1.78002","30.58350","0.00170","15.61294"
"20.60000","0.49950","1.90377","30.48351","0.00170","16.69837"
"20.70000","0.50041","2.02959","30.48351","0.00171","17.80200"
"20.80000","0.50134","2.13723","30.48351","0.00172","18.74616"
"20.90000","0.50223","2.21722","30.48351","0.00173","19.44771"
"21.00000","0.50302","2.26055","30.48351","0.00174","19.82781"
"21.10000","0.50380","2.27101","30.48351","0.00175","19.91950"
"21.20000","0.50456","2.27677","30.42159","0.00175","19.97008"
"21.30000","0.50539","2.29045","30.42159","0.00176","20.09005"
"21.40000","0.50616","2.30905","30.42159","0.00177","20.25321"
"21.50000","0.50697","2.35501","30.42159","0.00178","20.65627"
"21.60000","0.50784","2.41632","30.42159","0.00179","21.19408"
"21.70000","0.50874","2.50002","30.40726","0.00180","21.92820"
"21.80000","0.50966","2.56122","30.40726","0.00181","22.46500"
"21.90000","0.51053","2.55450","30.40726","0.00181","22.40606"
"22.00000","0.51133","2.52750","30.40726","0.00182","22.16929"
"22.10000","0.51207","2.51940","30.40726","0.00183","22.09822"
"22.20000","0.51287","2.47253","30.40726","0.00184","21.68710"
"22.30000","0.51366","2.39892","30.48567","0.00185","21.04149"
"22.40000","0.51448","2.31166","30.48567","0.00185","20.27607"
"22.50000","0.51528","2.25664","30.48567","0.00186","19.79345"
"22.60000","0.51616","2.22726","30.48567","0.00187","19.53576"
"22.70000","0.51708","2.19868","30.48567","0.00188","19.28511"
"22.80000","0.51795","2.17826","30.48567","0.00189","19.10600"
"22.90000","0.51884","2.19597","30.54086","0.00190","19.26137"
"23.00000","0.51963","2.21277","30.54086","0.00190","19.40867"
"23.10000","0.52037","2.21638","30.54086","0.00191","19.44037"
"23.20000","0.52117","2.21982","30.54086","0.00192","19.47057"
"23.30000","0.52198","2.19233","30.54086","0.00193","19.22943"
"23.40000","0.52278","2.14090","30.54086","0.00194","18.77829"
"23.50000","0.52361","2.03321","30.55766","0.00194","17.83370"
"23.60000","0.52449","1.93672","30.55766","0.00195","16.98738"
"23.70000","0.52542","1.86364","30.55766","0.00196","16.34639"
"23.80000","0.52627","1.78651","30.55766","0.00197","15.66987"
"23.90000","0.52711","1.73631","30.55766","0.00198","15.22952"
"24.00000","0.52793","1.71225","30.51117","0.00199","15.01854"
"24.10000","0.52870","1.71872","30.51117","0.00200","15.07527"
"24.20000","0.52948","1.78853","30.51117","0.00200","15.68759"
"24.30000","0.53032","1.88896","30.51117","0.00201","16.56852"
"24.40000","0.53115","1.98864","30.51117","0.00202","17.44279"
"24.50000","0.53203","2.08076","30.51117","0.00203","18.25081"
"24.60000","0.53288","2.13654","30.42155","0.00204","18.74007"
"24.70000","0.53377","2.16316","30.42155","0.00205","18.97359"
"24.80000","0.53467","2.17812","30.42155","0.00205","19.10480"
"24.90000","0.53545","2.20471","30.42155","0.00206","19.33800"
"25.00000","0.53627","2.23336","30.42155","0.00207","19.58930"
"25.10000","0.53707","2.28832","30.42155","0.00208","20.07139"
"25.20000","0.53782","2.36837","30.32224","0.00209","20.77353"
"25.30000","0.53867","2.47451","30.32224","0.00209","21.70452"
"25.40000","0.53953","2.58150","30.32224","0.00210","22.64293"
"25.50000","0.54039","2.69262","30.32224","0.00211","23.61755"
"25.60000","0.54122","2.78672","30.32224","0.00212","24.44295"
"25.70000","0.54214","2.85697","30.32224","0.00213","25.05911"
"25.80000","0.54298","2.88080","30.26993","0.00214","25.26812"
"25.90000","0.54379","2.83674","30.26993","0.00215","24.88169"
"26.00000","0.54458","2.75942","30.26993","0.00215","24.20348"
"26.10000","0.54538","2.65806","30.26993","0.00216","23.31445"
"26.20000","0.54617","2.62271","30.26993","0.00217","23.00438"
"26.30000","0.54699","2.59852","30.26993","0.00218","22.79216"
"26.40000","0.54788","2.59794","30.28879","0.00219","22.78713"
"26.50000","0.54871","2.62991","30.28879","0.00219","23.06750"
"26.60000","0.54959","2.65829","30.28879","0.00220","23.31643"
"26.70000","0.55046","2.69464","30.28879","0.00221","23.63525"
"26.80000","0.55130","2.74754","30.28879","0.00222","24.09928"
"26.90000","0.55208","2.75132","30.32891","0.00223","24.13246"
"27.00000","0.55291","2.70790","30.32891","0.00224","23.75157"
"27.10000","0.55372","2.62740","30.32891","0.00224","23.04550"
"27.20000","0.55451","2.50707","30.32891","0.00225","21.99008"
"27.30000","0.55534","2.40280","30.32891","0.00226","21.07550"
"27.40000","0.55620","2.33370","30.32891","0.00227","20.46944"
"27.50000","0.55706","2.28137","30.35468","0.00228","20.01044"
"27.60000","0.55791","2.27910","30.35468","0.00229","19.99052"
"27.70000","0.55876","2.29421","30.35468","0.00229","20.12301"
"27.80000","0.55959","2.31606","30.35468","0.00230","20.31464"
"27.90000","0.56040","2.32742","30.35468","0.00231","20.41430"
"28.00000","0.56119","2.34643","30.35468","0.00232","20.58108"
"28.10000","0.56200","2.35229","30.34945","0.00233","20.63242"
"28.20000","0.56281","2.36323","30.34945","0.00234","20.72839"
"28.30000","0.56365","2.35585","30.34945","0.00234","20.66367"
"28.40000","0.56453","2.31253","30.34945","0.00235","20.28368"
"28.50000","0.56543","2.30231","30.34945","0.00236","20.19404"
"28.60000","0.56627","2.32978","30.34945","0.00237","20.43505"
"28.70000","0.56707","2.37670","30.30106","0.00238","20.84656"
"28.80000","0.56790","2.46325","30.30106","0.00239","21.60573"
"28.90000","0.56871","2.56971","30.30106","0.00239","22.53951"
"29.00000","0.56949","2.69994","30.30106","0.00240","23.68180"
"29.10000","0.57033","2.83999","30.30106","0.00241","24.91017"
"29.20000","0.57115","2.97057","30.30106","0.00242","26.05550"
"29.30000","0.57199","3.06605","30.24641","0.00243","26.89298"
"29.40000","0.57286","3.09972","30.24641","0.00244","27.18831"
"29.50000","0.57378","3.10326","30.24641","0.00244","27.21936"
"29.60000","0.57462","3.07653","30.24641","0.00245","26.98496"
"29.70000","0.57539","3.05517","30.24641","0.00246","26.79759"
"29.80000","0.57623","3.06681","30.25237","0.00247","26.89971"
"29.90000","0.57701","3.08855","30.25237","0.00248","27.09034"
"30.00000","0.57783","3.07096","30.25237","0.00248","26.93612"
"30.10000","0.57867","3.07188","30.25237","0.00249","26.94418"
"30.20000","0.57951","3.09532","30.25237","0.00250","27.14979"
"30.30000","0.58041","3.09829","30.25237","0.00251","27.17577"
"30.40000","0.58127","3.12982","30.31157","0.00252","27.45235"
"30.50000","0.58215","3.14809","30.31157","0.00253","27.61264"
"30.60000","0.58298","3.14007","30.31157","0.00254","27.54230"
"30.70000","0.58378","3.08389","30.31157","0.00254","27.04947"
"30.80000","0.58457","2.98468","30.31157","0.00255","26.17929"
"30.90000","0.58535","2.90430","30.31157","0.00256","25.47430"
"31.00000","0.58617","2.85767","30.37697","0.00257","25.06527"
"31.10000","0.58701","2.82745","30.37697","0.00258","24.80017"
"31.20000","0.58789","2.81491","30.37697","0.00259","24.69025"
"31.30000","0.58875","2.80443","30.37697","0.00259","24.59831"
"31.40000","0.58964","2.81935","30.37697","0.00260","24.72919"
"31.50000","0.59051","2.82224","30.37697","0.00261","24.75447"
"31.60000","0.59135","2.79738","30.41354","0.00262","24.53641"
"31.70000","0.59209","2.78413","30.41354","0.00263","24.42020"
"31.80000","0.59286","2.75962","30.41354","0.00263","24.20526"
"31.90000","0.59368","2.68021","30.41354","0.00264","23.50873"
"32.00000","0.59451","2.57634","30.41354","0.00265","22.59767"
"32.10000","0.59536","2.49706","30.42245","0.00266","21.90226"
"32.20000","0.59624","2.47501","30.42245","0.00267","21.70890"
"32.30000","0.59709","2.49215","30.42245","0.00268","21.85920"
"32.40000","0.59797","2.53453","30.42245","0.00269","22.23091"
"32.50000","0.59886","2.61108","30.42245","0.00269","22.90232"
"32.60000","0.59965","2.70523","30.42245","0.00270","23.72822"
"32.70000","0.60041","2.81166","30.37826","0.00271","24.66169"
"32.80000","0.60119","2.91950","30.37826","0.00272","25.60756"
"32.90000","0.60199","3.00050","30.37826","0.00273","26.31808"
"33.00000","0.60285","3.06241","30.37826","0.00273","26.86108"
"33.10000","0.60371","3.08652","30.37826","0.00274","27.07260"
"33.20000","0.60456","3.09633","30.37826","0.00275","27.15859"
"33.30000","0.60544","3.11378","30.31975","0.00276","27.31167"
"33.40000","0.60633","3.13552","30.31975","0.00277","27.50236"
"33.50000","0.60719","3.17720","30.31975","0.00278","27.86796"
"33.60000","0.60797","3.24332","30.31975","0.00279","28.44790"
"33.70000","0.60870","3.32515","30.31975","0.00279","29.16561"
"33.80000","0.60950","3.40370","30.31975","0.00280","29.85461"
"33.90000","0.61029","3.49502","30.29836","0.00281","30.65557"
"34.00000","0.61113","3.52507","30.29836","0.00282","30.91917"
"34.10000","0.61201","3.52037","30.29836","0.00283","30.87797"
"34.20000","0.61287","3.47714","30.29836","0.00283","30.49880"
"34.30000","0.61379","3.41625","30.29836","0.00284","29.96465"
"34.40000","0.61464","3.32458","30.34177","0.00285","29.16067"
"34.50000","0.61545","3.24083","30.34177","0.00286","28.42603"
"34.60000","0.61628","3.19844","30.34177","0.00287","28.05427"
"34.70000","0.61705","3.17439","30.34177","0.00288","27.84326"
"34.80000","0.61778","3.14417","30.34177","0.00288","27.57822"
"34.90000","0.61861","3.13382","30.34177","0.00289","27.48741"
"35.00000","0.61946","3.16049","30.39202","0.00290","27.72140"
"35.10000","0.62030","3.17150","30.39202","0.00291","27.81797"
"35.20000","0.62121","3.18996","30.39202","0.00292","27.97989"
"35.30000","0.62212","3.17717","30.39202","0.00293","27.86769"
"35.40000","0.62298","3.11681","30.39202","0.00293","27.33824"
"35.50000","0.62377","3.05068","30.39202","0.00294","26.75816"
"35.60000","0.62460","2.95051","30.42947","0.00295","25.87956"
"35.70000","0.62536","2.83531","30.42947","0.00296","24.86911"
"35.80000","0.62612","2.76220","30.42947","0.00297","24.22788"
"35.90000","0.62695","2.71114","30.42947","0.00297","23.78004"
"36.00000","0.62780","2.68145","30.42947","0.00298","23.51959"
"36.10000","0.62868","2.67678","30.42947","0.00299","23.47861"
"36.20000","0.62965","2.73368","30.40261","0.00300","23.97768"
"36.30000","0.63054","2.79347","30.40261","0.00301","24.50217"
"36.40000","0.63132","2.88271","30.40261","0.00302","25.28491"
"36.50000","0.63215","2.94950","30.40261","0.00303","25.87074"
"36.60000","0.63292","3.00926","30.40261","0.00303","26.39493"
"36.70000","0.63372","3.02567","30.40261","0.00304","26.53885"
"36.80000","0.63447","3.02773","30.32714","0.00305","26.55690"
"36.90000","0.63529","3.03941","30.32714","0.00306","26.65935"
"37.00000","0.63614","3.07629","30.32714","0.00307","26.98282"
"37.10000","0.63703","3.14232","30.32714","0.00307","27.56199"
"37.20000","0.63796","3.21587","30.32714","0.00308","28.20713"
"37.30000","0.63886","3.31715","30.21380","0.00309","29.09548"
"37.40000","0.63970","3.40996","30.21380","0.00310","29.90955"
"37.50000","0.64047","3.52237","30.21380","0.00311","30.89546"
"37.60000","0.64125","3.62824","30.21380","0.00312","31.82414"
"37.70000","0.64204","3.68813","30.21380","0.00312","32.34943"
"37.80000","0.64281","3.73421","30.21380","0.00313","32.75355"
"37.90000","0.64361","3.74484","30.19159","0.00314","32.84685"
"38.00000","0.64448","3.74450","30.19159","0.00315","32.84384"
"38.10000","0.64541","3.70173","30.19159","0.00316","32.46872"
"38.20000","0.64633","3.66909","30.19159","0.00317","32.18243"
"38.30000","0.64722","3.61054","30.19159","0.00318","31.66881"
"38.40000","0.64798","3.54746","30.19159","0.00318","31.11553"
"38.50000","0.64879","3.53969","30.22252","0.00319","31.04738"
"38.60000","0.64961","3.57310","30.22252","0.00320","31.34048"
"38.70000","0.65037","3.62141","30.22252","0.00321","31.76418"
"38.80000","0.65114","3.64122","30.22252","0.00322","31.93795"
"38.90000","0.65196","3.62156","30.22252","0.00322","31.76547"
"39.00000","0.65285","3.58174","30.22252","0.00323","31.41622"
"39.10000","0.65370","3.52507","30.28156","0.00324","30.91921"
"39.20000","0.65464","3.44659","30.28156","0.00325","30.23077"
"39.30000","0.65549","3.38984","30.28156","0.00326","29.73305"
"39.40000","0.65628","3.35125","30.28156","0.00327","29.39460"
"39.50000","0.65710","3.30974","30.28156","0.00327","29.03045"
"39.60000","0.65788","3.27429","30.28156","0.00328","28.71954"
"39.70000","0.65865","3.24641","30.34206","0.00329","28.47497"
"39.80000","0.65944","3.22209","30.34206","0.00330","28.26168"
"39.90000","0.66028","3.23429","30.34206","0.00331","28.36868"
"40.00000","0.66115","3.22113","30.34206","0.00332","28.25327"
"40.10000","0.66204","3.19570","30.34206","0.00332","28.03018"
"40.20000","0.66295","3.11550","30.35028","0.00333","27.32676"
"40.30000","0.66383","3.04374","30.35028","0.00334","26.69733"
"40.40000","0.66458","3.00018","30.35028","0.00335","26.31527"
"40.50000","0.66539","3.00447","30.35028","0.00336","26.35291"
"40.60000","0.66619","3.04493","30.35028","0.00337","26.70776"
"40.70000","0.66697","3.10009","30.35028","0.00337","27.19162"
"40.80000","0.66782","3.17838","30.31409","0.00338","27.87831"
"40.90000","0.66861","3.28955","30.31409","0.00339","28.85339"
"41.00000","0.66948","3.39970","30.31409","0.00340","29.81957"
"41.10000","0.67037","3.51107","30.31409","0.00341","30.79637"
"41.20000","0.67128","3.61317","30.31409","0.00342","31.69194"
"41.30000","0.67214","3.66881","30.31409","0.00342","32.17996"
"41.40000","0.67293","3.70385","30.23618","0.00343","32.48731"
"41.50000","0.67371","3.71680","30.23618","0.00344","32.60091"
"41.60000","0.67453","3.72949","30.23618","0.00345","32.71220"
"41.70000","0.67534","3.74726","30.23618","0.00346","32.86808"
"41.80000","0.67615","3.78214","30.23618","0.00346","33.17400"
"41.90000","0.67700","3.82647","30.23618","0.00347","33.56281"
"42.00000","0.67787","3.90059","30.22978","0.00348","34.21297"
"42.10000","0.67879","3.95597","30.22978","0.00349","34.69865"
"42.20000","0.67966","3.95622","30.22978","0.00350","34.70086"
"42.30000","0.68052","3.95175","30.22978","0.00351","34.66164"
"42.40000","0.68127","3.95085","30.22978","0.00352","34.65378"
"42.50000","0.68204","3.91184","30.26645","0.00352","34.31160"
"42.60000","0.68286","3.84784","30.26645","0.00353","33.75024"
"42.70000","0.68367","3.80769","30.26645","0.00354","33.39807"
"42.80000","0.68454","3.73498","30.26645","0.00355","32.76035"
"42.90000","0.68533","3.69145","30.26645","0.00356","32.37857"
"43.00000","0.68624","3.67307","30.26645","0.00357","32.21736"
"43.10000","0.68717","3.67781","30.34364","0.00357","32.25889"
"43.20000","0.68799","3.66823","30.34364","0.00358","32.17485"
"43.30000","0.68879","3.69259","30.34364","0.00359","32.38855"
